PT No.;Sources;Page in Rasmussen 2003;Year BC;Locations in Rasmussen 2003;Location of the specific Prodigy based on Rasmussen 2003;GPS Coordinates;Incidence;Prodigy;Commentary A.K.;Simplicity Rule: Concept;Step 1: Basic Level Membership;Step 2: Ontological Category (Spatial Entity, Solid Object, Living Thing, Animate, Person);Step 3: Transfers (Physicality P, Biology B, Animacy A, Mentality M);Step 4: Breaches (Universals u, Spatiality s, Physicality p, Biology b, Animacy a, Mentality m);Quantified Counterintuitiveness of Concept;Concept Type (INT, CI, MCI (Tr), MCI(Br), CSCH);Quantified Counterintuitiveness of Prodigy;Prodigy Type (INT, CI, MCI (Tr), MCI(Br), CSCH);Step 2a Concept recategorization for Events;Step 2b Concept Type recategorization for Events;Step 2c Prodigy Type recategorization for Events;Concept Type recategorization according to Kavanagh 2014 (CI, CSCH, INT, CI EVENT - corresponding to CI Object/Agent, CSCH Object/Agent, INT Object/Agent/Event[sic], CI Event);Prodigy Type recategorization according to Kavanagh 2014, T1 (CI, CSCH, INT, CI EVENT - corresponding to CI Object/Agent, CSCH Object/Agent, INT Object/Agent/Event[sic], CI Event);Conservative Concept Type Recategorization 1 (CI, CSCH, INT, EVENT - corresponding to CI-MCI (Br)-MCI (Tr)-MCI (Br)/CSCH-MCI (Tr)/CSCH, INT/CSCH, INT, and all events);Conservative Prodigy Type Recategorization 1, T4 (CI, CSCH, INT, EVENT - corresponding to CI-MCI (Br)-MCI (Tr)-MCI (Br)/CSCH-MCI (Tr)/CSCH, INT/CSCH, INT, and all events);Prodigy Typology T2;Prodigy Typology T3
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;in Arpi the sun seems to be fighting the moon;"separated into 2 prodiges from ""in Arpi shields are seen in the sky and the sun seems to be fighting the moon""";sun seems to be fighting the moon;SUN;Spatial Entity;;ap;2;CI;2;CI;;CI;CI;CI;CI;CI;CI;CI;CI
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;in Capena two moons rise in the daytime;;two moons rise in daytime;MOON;Spatial Entity;;uu;2;CI;2;CI;EVENT;CI EVENT;CI EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;in Caere the springs flow with blood, and blood trickles in the very spring of Hercules;;springs flow with blood;SRINGS;Spatial Entity;;b;1;MCI (Br);2;CI;EVENT;MCI (Br) EVENT;CI EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;in Caere the springs flow with blood, and blood trickles in the very spring of Hercules;;blood trickles in a spring;BLOOD;Spatial Entity;;s;1;MCI (Br);;;EVENT;MCI (Br) EVENT;;CI EVENT;;EVENT;;;
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;in Antium bloody heads of grain fall into the basket during harvesting;;bloody heads of grain fall into basket during harvest;HEAD OF GRAIN;Solid Object;B;;1;MCI (Tr);1;MCI (Tr);;MCI (Tr);MCI (Tr);CI;CI;CI;CI;CI;CI
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;in Falerii the sky seems to split into a rift, from which rays of light shine;;sky splits into rift that shines rays of light;SKY;Spatial Entity;P;p;2;CI;2;CI;EVENT;CI EVENT;CI EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;"lots shrink, and one falls out of its own accord, bearing the inscription ""Mavors shakes his spear"", and at the same time the statue of Mars and the images of the wolves on the Via Appia sweat";;lots shrink;LOTS;Spatial Entity;;s;1;MCI (Br);3;CI;EVENT;MCI (Br) EVENT;CI EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;"lots shrink, and one falls out of its own accord, bearing the inscription ""Mavors shakes his spear"", and at the same time the statue of Mars and the images of the wolves on the Via Appia sweat";;a lot falls out of its own accord bearing an inscription about Mavors;LOT;Spatial Entity;;;0;INT/CSCH;;;EVENT;INT/CSCH EVENT;;CSCH;;EVENT;;;
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;"lots shrink, and one falls out of its own accord, bearing the inscription ""Mavors shakes his spear"", and at the same time the statue of Mars and the images of the wolves on the Via Appia sweat";;statue of Mars sweats;STATUE;Solid Object;B;;1;MCI (Tr);;;;MCI (Tr);;CI;;CI;;;
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;"lots shrink, and one falls out of its own accord, bearing the inscription ""Mavors shakes his spear"", and at the same time the statue of Mars and the images of the wolves on the Via Appia sweat";;images of wolfs sweat;IMAGES;Solid Object;B;;1;MCI (Tr);;;;MCI (Tr);;CI;;CI;;;
